"USPS","geoid","pop2019est"
"AL","01057",16302
"AR","05135",17442
"VA","51071",16720
"MO","29003",17712
"AR","05141",16545
"AL","01067",17205
"KY","21213",18572
"IN","18121",16937
"IN","18139",16581
"MS","28017",17103
"SD","46005",18453
"VA","51570",17370
"AR","05075",16406
"VA","51025",16231
"VA","51193",18015
"PA","42105",16526
"KY","21161",17070
"MI","26019",17766
"TX","48165",21492
"IA","19083",16846
"ME","23021",16785
"WV","54065",17884
"KY","21207",17923
"AL","01129",16326
"MO","29053",17709
"GA","13017",16700
"IL","17187",16844
"IA","19055",17011
"IA","19171",16854
"IL","17005",16426
"MS","28131",18336
"NC","37011",17557
"IL","17181",16653
"CO","08015",20356
"NC","37199",18069
"VA","51520",16762
"AR","05053",18265
"NM","35053",16637
"TX","48145",17297
"GA","13211",19276
"GA","13231",18962
"AR","05037",16419
"NM","35028",19369
"TN","47049",18523
"AR","05121",17958
"AR","05067",16719
"WI","55103",17252
"WY","56023",19830
"AR","05047",17715
"IA","19043",17549
"MO","29186",17894
"KY","21099",19035
"TX","48035",18685
"GA","13001",18386
"TN","47091",17788
"CA","06043",17203
"PA","42093",18230
"MO","29155",15805
"KY","21147",17231
"TN","47171",17883
"GA","13171",19077
"NY","36097",17807
"GA","13011",19234
"VA","51079",19819
"GA","13025",19109
"VA","51127",23091
"VA","51141",17608
"IA","19031",18627
"AR","05043",18219
"MO","29163",18302
"TN","47085",18582
"CA","06027",18039
"TX","48503",18010
"VA","51175",17631
"IL","17045",17161
"TX","48133",18360
"UT","49013",19938
"KY","21001",19202
"TN","47041",20490
"WA","53001",19983
"GA","13229",19465
"TN","47075",17304
"MO","29229",18289
"CO","08089",18278
"KY","21097",18886
"IA","19157",18504
"MO","29143",17076
"MO","29157",19136
"AR","05001",17486
"MN","27055",18600
"WI","55047",18913
"MO","29015",19443
"IL","17067",17708
"TN","47173",19972
"KS","20087",19043
"MN","27161",18612
"TN","47159",20157
"MS","28051",17010
"MS","28159",17955
"SC","45061",16828
"FL","12079",18493
"TX","48285",20154
"GA","13019",19397
"TX","48299",21795
"IN","18123",19169
"TX","48117",18546
"SD","46035",19775
"MS","28007",18174
"MS","28031",18636
"MS","28141",19383
"OH","39125",18672
"TX","48281",21428
"MT","30053",19980
"TX","48337",19818
"AL","01107",19930
"KS","20041",18466
"TX","48177",20837
"TX","48161",19717
"IL","17033",18667
"KY","21155",19273
"IN","18117",19646
"NM","35041",18500
"IA","19097",19439
"SC","45081",20473
"FL","12059",19617
"KY","21003",21315
"WI","55067",19189
"IL","17041",19465
"KY","21017",19788
"CA","06063",18807
"KY","21027",20477
"ID","16067",21039
"OK","40153",20211
"MN","27039",20934
"TX","48123",20160
"IA","19087",19954
"IN","18015",20257
"GA","13105",19194
"MD","24029",19422
"TX","48253",20083
"NE","31177",20729
"OK","40091",19596
"IA","19021",19620
"LA","22037",19135
"WA","53039",22425
"MN","27057",21491
"WI","55053",20643
"TX","48019",23112
"AZ","04012",21108
"NM","35027",19572
"NC","37149",20724
"MO","29141",20627
"WI","55061",20434
"MS","28025",19316
"IA","19105",20681
"OK","40139",19983
"AR","05113",19964
"WI","55119",20343
"LA","22083",20122
"MO","29049",20387
"MS","28153",20183
"NC","37115",21755
"LA","22041",20015
"NE","31155",21578
"UT","49041",21620
"KY","21231",20333
"IA","19027",20165
"LA","22029",19259
"IN","18049",19974
"MN","27091",19683
"MN","27045",21067
"TX","48089",21493
"WI","55001",20220
"IA","19065",19650
"WA","53049",22471
"AL","01013",19448
"IN","18147",20277
"IA","19019",21175
"NC","37185",19731
"OR","41013",24404
"NE","31043",20026
"VA","51820",22630
"AL","01091",18863
"IA","19191",19991
"SC","45049",19222
"ND","38093",20704
"WY","56041",20226
"MO","29217",20563
"GA","13303",20374
"GA","13237",22119
"IN","18075",20436
"AR","05029",20846
"NC","37015",18947
"WY","56039",23464
"KY","21167",21933
"GA","13291",24511
"NC","37079",21069
"ID","16013",23021
"MN","27105",21629
"TX","48057",21290
"UT","49007",20463
"CA","06011",21547
"KY","21005",22747
"WI","55125",22195
"AL","01087",18068
"IN","18153",20669
"IN","18119",20799
"KS","20021",19939
"KS","20149",24383
"KS","20099",19618
"WA","53003",22582
"MN","27157",21627
"GA","13321",20247
"MI","26129",20997
"IA","19183",21965
"MI","26089",21761
